lesson_id,role,name,url,segment,status,why_watch,internal_fallback
STAT1,RECOMMENDED_VISUAL,"StatQuest - Calculating the Mean, Variance and Standard Deviation, Clearly Explained!!!",https://www.youtube.com/watch?v=SzZ6GpcfoQY,Full focused video,VERIFIED_CURRENT_YOUTUBE_2026-09-11,Visual explanation of center/variance/SD before the course adds median/IQR/outlier investigation.,STAT1 learner book + workbook fully teach center/spread/outlier rules.
STAT2,RECOMMENDED_VISUAL,"StatQuest - The Normal Distribution, Clearly Explained!!!",https://www.youtube.com/watch?v=rzFX5NWojp0,Full focused video,VERIFIED_CURRENT_YOUTUBE_2026-09-11,See the normal model visually before deciding whether z-score/normal language fits a business metric.,"STAT2 learner book + workbook teach distribution shape, percentiles and z-score limits."
STAT3,RECOMMENDED_VISUAL,"StatQuest - Sampling from a Distribution, Clearly Explained!!!",https://www.youtube.com/watch?v=XLCWeSVzHUU,Full focused video,VERIFIED_CURRENT_YOUTUBE_2026-09-11,Makes random sampling variation visible before the course distinguishes chance error from systematic sampling bias.,STAT3 learner book + sampling-design sheet fully teach population/frame/bias/generalization.
STAT4,RECOMMENDED_VISUAL,"StatQuest - The Central Limit Theorem, Clearly Explained!!!",https://www.youtube.com/watch?v=YAlJCEDH2uY,Full focused video,VERIFIED_CURRENT_YOUTUBE_2026-09-11,Visualize repeated sample means and why their spread changes with n.,STAT4 learner book + visual simulation notebook teach SD vs SE and CLT.
STAT5,RECOMMENDED_VISUAL,"StatQuest - Confidence Intervals, Clearly Explained!!!",https://www.youtube.com/watch?v=TqOeMYtOc1w,Full focused video,CORROBORATED_CURRENT_WEB_2026-09-11_DIRECT_FETCH_LIMITED,"Visual CI intuition before the course focuses on repeated-procedure interpretation, precision and bias.",STAT5 learner book + workbook + simulation notebook fully teach the CI interpretation contract.
STAT6,RECOMMENDED_VISUAL,"StatQuest - Hypothesis Testing and The Null Hypothesis, Clearly Explained!!!",https://www.youtube.com/watch?v=0oc49DyA3hU,0:22-13:44,VERIFIED_CURRENT_YOUTUBE_2026-09-11,See null/reject/fail-to-reject logic before applying the analyst decision rule.,STAT6 learner book + workbook teach two-proportion test and safe p-value language.
STAT6,OPTIONAL_VISUAL_COMPANION,StatQuest - p-values: What they are and how to interpret them,https://www.youtube.com/watch?v=vemZtEM63GY,0:17-9:47,VERIFIED_CURRENT_YOUTUBE_2026-09-11,Reinforce what p-values mean and common misinterpretations.,STAT6 internal teaching is complete.
STAT7,OPTIONAL_VISUAL_COMPANION,StatQuest - p-values: What they are and how to interpret them,https://www.youtube.com/watch?v=vemZtEM63GY,Ending emphasis: p-values do not measure effect size,VERIFIED_CURRENT_YOUTUBE_2026-09-11,Useful bridge from significance to effect size/business thresholds.,STAT7 learner book + workbook are the canonical teacher.
STAT8,RECOMMENDED_VISUAL,"StatQuest - Pearson's Correlation, Clearly Explained!!!",https://www.youtube.com/watch?v=xZ_z8KWkhXE,0:55-17:31,VERIFIED_CURRENT_YOUTUBE_2026-09-11,Visual interpretation of Pearson correlation before the course adds confounding/reverse-causality limits.,STAT8 learner book + workbook + simulation teach association vs causation.
STAT8,OPTIONAL_VISUAL_COMPANION,Khan Academy - Correlation and causality,https://www.youtube.com/watch?v=ROpbdO-gRUo,Full focused video,CORROBORATED_CURRENT_WEB_2026-09-11_DIRECT_FETCH_LIMITED,Reinforces third-variable and directionality problems in causal claims.,STAT8 internal teaching is complete.
STAT9,OPTIONAL_VISUAL_COMPANION,Khan Academy - Correlation and causality,https://www.youtube.com/watch?v=ROpbdO-gRUo,Use as a bridge: why randomization strengthens the causal argument,CORROBORATED_CURRENT_WEB_2026-09-11_DIRECT_FETCH_LIMITED,Contrast observational association with randomized experimental design.,STAT9 learner book + experiment workbook teach the complete A/B design discipline.
