ticket_id,created_at,first_response_at,resolved_at,customer_id,agent_id,category,priority,channel,satisfaction_score,region
T0001,2026-01-02 09:00:00,2026-01-02 17:00:00,2026-01-02 19:00:00,C1079,A02,Billing,Low,Phone,5,West
T0002,2026-01-02 16:00:00,2026-01-02 18:00:00,2026-01-04 06:00:00,C1115,A07,Delivery,Low,Chat,5,West
T0003,2026-01-02 23:00:00,2026-01-03 07:00:00,2026-01-03 15:00:00,C1107,A03,Technical,Medium,Phone,3,North
T0004,2026-01-03 06:00:00,2026-01-03 09:00:00,2026-01-04 21:00:00,C1071,A03,Billing,Low,Chat,3,East
T0005,2026-01-03 13:00:00,2026-01-03 16:00:00,2026-01-04 00:00:00,C1112,A01,Account,Low,Phone,5,West
T0006,2026-01-03 20:00:00,2026-01-04 01:00:00,2026-01-04 13:00:00,C1090,A01,Technical,Low,Email,2,West
T0007,2026-01-04 03:00:00,2026-01-04 05:00:00,2026-01-04 17:00:00,C1025,A06,Delivery,Low,Email,2,North
T0008,2026-01-04 10:00:00,2026-01-04 15:00:00,2026-01-04 17:00:00,C1156,A05,Delivery,High,Email,4,North
T0008,2026-01-04 17:00:00,2026-01-04 18:00:00,2026-01-06 06:00:00,C1015,A03,Billing,High,Chat,4,North
T0010,2026-01-05 00:00:00,2026-01-05 03:00:00,2026-01-05 07:00:00,C1015,A08,Delivery,Medium,Chat,3,East
T0011,2026-01-05 07:00:00,2026-01-05 11:00:00,2026-01-05 13:00:00,C1124,A02,Technical,Medium,Phone,4,South
T0012,2026-01-05 14:00:00,2026-01-05 18:00:00,2026-01-06 18:00:00,C1083,A08,Delivery,High,Chat,5,South
T0013,2026-01-05 21:00:00,2026-01-06 01:00:00,2026-01-07 01:00:00,C1009,A01,Delivery,Low,Phone,4,South
T0014,2026-01-06 04:00:00,2026-01-06 14:00:00,2026-01-06 22:00:00,C1116,A03,Billing,Medium,Email,2,West
T0015,2026-01-06 11:00:00,2026-01-06 15:00:00,2026-01-07 15:00:00,C1071,A04,Billing,Medium,Chat,4,East
T0016,2026-01-06 18:00:00,2026-01-06 22:00:00,2026-01-07 10:00:00,C1134,A08,Technical,Low,Chat,5,North
T0017,2026-01-07 01:00:00,2026-01-07 07:00:00,2026-01-07 15:00:00,C1155,A08,Delivery,Low,Phone,5,North
T0018,2026-01-07 08:00:00,2026-01-07 10:00:00,2026-01-08 22:00:00,C1000,A04,Account,High,Chat,2,North
T0019,2026-01-07 15:00:00,2026-01-07 21:00:00,2026-01-08 05:00:00,C1051,A01,Delivery,Medium,Chat,4,South
T0020,2026-01-07 22:00:00,2026-01-08 02:00:00,2026-01-09 14:00:00,C1137,A03,Delivery,Medium,Chat,4,East
T0021,2026-01-08 05:00:00,2026-01-08 07:00:00,2026-01-08 19:00:00,C1019,A01,Technical,High,Phone,5,West
T0022,2026-01-08 12:00:00,2026-01-08 17:00:00,2026-01-09 01:00:00,C1022, A03 ,Account,High,Chat,4,West
T0023,2026-01-08 19:00:00,2026-01-08 21:00:00,2026-01-09 21:00:00,C1146,A07,Billing,High,Chat,3,West
T0024,2026-01-09 02:00:00,2026-01-09 05:00:00,2026-01-09 07:00:00,C1077,A05,Delivery,Medium,Phone,5,South
T0025,2026-01-09 09:00:00,2026-01-09 15:00:00,2026-01-10 15:00:00,C1067,A04,Technical,Medium,Email,3,East
T0026,2026-01-09 16:00:00,2026-01-09 20:00:00,2026-01-10 00:00:00,C1140,A03,Technical,Low,Email,5,South
