lesson_id,role,name,url,segment,status,why_watch,internal_fallback
PBD1,RECOMMENDED_VISUAL,Chandoo - Learn 80% of DAX in an Hour,https://www.youtube.com/watch?v=lD7TvkoQ6rY,3:00-15:08,VERIFIED_CURRENT_WEB_2026-09-10,"See explicit measures, why measures beat auto calculations, and measure-vs-column before typing the base measure set.",PBD1 learner book + DAX reference fully teach the base measures.
PBD2,RECOMMENDED_REFERENCE,Microsoft Learn - DAX overview,https://learn.microsoft.com/en-us/dax/dax-overview,Measures and evaluation-context sections,VERIFIED_CURRENT_WEB_2026-09-10,Current official explanation that a measure result depends on the context supplied by the report.,PBD2 learner book + practice guide fully teach filter-context prediction/testing.
PBD3,RECOMMENDED_REFERENCE,Microsoft Learn - CALCULATE function,https://learn.microsoft.com/en-us/dax/calculate-function-dax,Function semantics and modified filter context,VERIFIED_CURRENT_WEB_2026-09-10,Use the current official function semantics while the book teaches denominator/filter reasoning.,PBD3 learner book + DAX reference fully teach CALCULATE/REMOVEFILTERS.
PBD4,BOOK_LED,Internal lesson - target grain and KPI contract,,,NO_EXTERNAL_MEDIA_REQUIRED,The course-specific Region/Month target grain is better taught against the exact supplied target table than through a generic video.,PBD4 learner book + practice guide are the canonical route.
PBD5,RECOMMENDED_VISUAL,Chandoo - FREE Adv. Masterclass on Power BI - Create a Sales Analytics Dashboard,https://www.youtube.com/watch?v=ooJO7NW4uJU,17:43-27:22,VERIFIED_CURRENT_WEB_2026-09-10,See calendar/time-intelligence measures in a real dashboard before building YTD/previous-month/prior-year checks on the course Date table.,PBD5 learner book + DAX reference teach exact formulas and boundary checks.
PBD6,RECOMMENDED_VISUAL,Chandoo - FREE Adv. Masterclass on Power BI - Create a Sales Analytics Dashboard,https://www.youtube.com/watch?v=ooJO7NW4uJU,27:22-44:26,VERIFIED_CURRENT_WEB_2026-09-10,"See wireframe, page hierarchy, KPI cards and formatting choices before building the executive page.",PBD6 learner book + practice guide teach question-to-visual selection and accessibility checks.
PBD7,RECOMMENDED_VISUAL,Chandoo - FREE Adv. Masterclass on Power BI - Create a Sales Analytics Dashboard,https://www.youtube.com/watch?v=ooJO7NW4uJU,1:25:35-1:44:16,VERIFIED_CURRENT_WEB_2026-09-10,See bookmarks/filter panel/tooltips/interactivity in motion before testing interactions deliberately.,PBD7 learner book + practice guide teach slicer/edit-interaction/drillthrough/tooltip validation.
PBD8,BOOK_LED,Internal lesson - report QA and reconciliation,,,NO_EXTERNAL_MEDIA_REQUIRED,Validation must use the exact protected anchors and course model; a generic video would add less value than the controlled QA page.,PBD8 learner book + practice guide are the canonical route.
PBD9,RECOMMENDED_REFERENCE,Microsoft Learn - Publish semantic models and reports from Power BI Desktop,https://learn.microsoft.com/en-us/power-bi/create-reports/desktop-upload-desktop-files,"Publish workflow, republish and limitations",VERIFIED_CURRENT_WEB_2026-09-10,Current official workflow; avoids teaching stale tenant/workspace UI as universal.,"PBD9 learner book explains Desktop refresh, publish concepts and capability/tenant caveats."
PBD10,RECOMMENDED_VISUAL,Guy in a Cube - How to Setup Row-Level Security (RLS) in Power BI,https://www.youtube.com/watch?v=MxU_FYSSnYU,0:00-4:30,VERIFIED_CURRENT_WEB_2026-09-10,"Short visual walkthrough of role creation, View As and service role mapping before the course handoff/security exercise.",PBD10 learner book + current Microsoft RLS reference fully teach the security distinction and test route.
PBD1,OFFICIAL_REFERENCE,Microsoft Learn - DAX overview,https://learn.microsoft.com/en-us/dax/dax-overview,Measures / calculated columns / context,VERIFIED_CURRENT_WEB_2026-09-10,Official background after the visual measure introduction.,PBD1 internal teaching.
PBD2,OPTIONAL_VISUAL_COMPANION,Chandoo - Learn 80% of DAX in an Hour,https://www.youtube.com/watch?v=lD7TvkoQ6rY,19:24-25:12,VERIFIED_CURRENT_WEB_2026-09-10,See evaluation context change visually.,PBD2 internal teaching.
PBD3,OPTIONAL_VISUAL_COMPANION,Chandoo - Learn 80% of DAX in an Hour,https://www.youtube.com/watch?v=lD7TvkoQ6rY,30:56-46:35,VERIFIED_CURRENT_WEB_2026-09-10,"See DIVIDE, CALCULATE and multi-filter examples.",PBD3 internal teaching.
PBD5,OFFICIAL_REFERENCE,Microsoft Learn - DAX time intelligence functions,https://learn.microsoft.com/en-us/dax/time-intelligence-functions-dax,Function index; use DATEADD/SAMEPERIODLASTYEAR/TOTALYTD as assigned,VERIFIED_CURRENT_WEB_2026-09-10,Official function reference after the visual demonstration.,PBD5 internal teaching.
PBD9,OFFICIAL_REFERENCE,Microsoft Learn - Data refresh in Power BI,https://learn.microsoft.com/en-us/power-bi/connect-data/refresh-data,"Desktop vs service refresh, dependencies and best practices",VERIFIED_CURRENT_WEB_2026-09-10,Current refresh concepts and limitations.,PBD9 internal teaching.
