lesson_id,role,name,url,segment,status,why_watch,internal_fallback
PBM0,RECOMMENDED_VISUAL,Chandoo - Data Modelling & Star Schema for Power BI,https://www.youtube.com/watch?v=4ePNrdxWtY0,09:40-11:49,CORROBORATED_CURRENT_WEB_2026-09-10,See Get Data/import/model orientation before reproducing the course import path.,"PBM0 learner book + practice guide fully explain views, Transform Data and PBIX save evidence."
PBM1,RECOMMENDED_REFERENCE,Microsoft Learn - Using the data profiling tools,https://learn.microsoft.com/en-us/power-query/data-profiling-tools,"Column quality, distribution and profile",VERIFIED_CURRENT_WEB_2026-09-10,Current official explanation of Power Query profiling controls; use the visual companion to see the editor in motion.,PBM1 learner book + practice guide define the exact profiling checklist.
PBM2,RECOMMENDED_REFERENCE,Microsoft Learn - Data Types in Power Query,https://learn.microsoft.com/en-us/power-query/data-types,"Detection, definition and conversion",VERIFIED_CURRENT_WEB_2026-09-10,Current official type behavior before the course's safe-transformation lab.,PBM2 learner book + guide teach the exact duplicate/date/discount/unmatched-key workflow.
PBM3,RECOMMENDED_VISUAL,Chandoo - Data Modelling & Star Schema for Power BI,https://www.youtube.com/watch?v=4ePNrdxWtY0,00:43-09:39,CORROBORATED_CURRENT_WEB_2026-09-10,See fact/dimension/star-schema thinking visually before classifying the course tables.,"PBM3 learner book + guide teach grain, fact/dimension roles and one-side uniqueness."
PBM4,RECOMMENDED_VISUAL,Chandoo - Data Modelling & Star Schema for Power BI,https://www.youtube.com/watch?v=4ePNrdxWtY0,11:50-18:07,CORROBORATED_CURRENT_WEB_2026-09-10,See relationship creation/filter flow before performing the course's 1:* single-direction validation.,PBM4 learner book + guide define relationship/cardinality/filter-direction recovery.
PBM5,RECOMMENDED_REFERENCE,Microsoft Learn - Set and use date tables in Power BI Desktop,https://learn.microsoft.com/en-us/power-bi/transform-model/desktop-date-tables,Date uniqueness/nonblank/continuity and date-table setup,VERIFIED_CURRENT_WEB_2026-09-10,More exact current official source for the lesson than a generic relationship page.,"PBM5 learner book + guide teach date coverage, Month Number and Date-to-fact relationship checks."
PBM6,RECOMMENDED_VISUAL,Chandoo - Data Modelling & Star Schema for Power BI,https://www.youtube.com/watch?v=4ePNrdxWtY0,00:43-18:07,CORROBORATED_CURRENT_WEB_2026-09-10,Revisit the complete modeling flow while building an independent trust/validation log.,PBM6 learner book + guide contain the seven-control validation contract.
PBM7,RECOMMENDED_REFERENCE,Microsoft Learn - Data refresh in Power BI,https://learn.microsoft.com/en-us/power-bi/connect-data/refresh-data,"Refresh dependencies, options and best-practice concepts",VERIFIED_CURRENT_WEB_2026-09-10,Current official refresh reference; use the visual companion for the local Power Query refresh demonstration.,PBM7 learner book + guide give the controlled source-change -> refresh -> revalidation route.
PBM0,OFFICIAL_SETUP_REFERENCE,Microsoft - Power BI Desktop download,https://www.microsoft.com/en-in/download/details.aspx?id=58494,Official Windows installer/download page,VERIFIED_CURRENT_WEB_2026-09-10,Use the current official installer instead of following an outdated download screen in a video.,PBM0 explains the setup goal and what to verify after install.
PBM1,OPTIONAL_VISUAL_COMPANION,Chandoo - End to End Power Query Data Cleaning Masterclass,https://www.youtube.com/watch?v=UhD3LbbimZ0,11:40-23:59,VERIFIED_CURRENT_WEB_2026-09-10,See sample data loading and the Power Query UI after reading the profiling checklist.,PBM1 internal teaching is complete.
PBM2,OPTIONAL_VISUAL_COMPANION,Chandoo - End to End Power Query Data Cleaning Masterclass,https://www.youtube.com/watch?v=UhD3LbbimZ0,24:00-40:59,VERIFIED_CURRENT_WEB_2026-09-10,See cleaning/date/text transformations before applying the safer course-specific quality rules.,PBM2 internal teaching is complete.
PBM2,OPTIONAL_VISUAL_COMPANION,Chandoo - Power Query Beginner to PRO Masterclass,https://www.youtube.com/watch?v=MMdcczmULrU,4:54-13:36; 17:50-28:25,VERIFIED_CURRENT_WEB_2026-09-10,"Alternative visual explanation of the editor, cleaning and date work.",PBM2 internal teaching is complete.
PBM3,OFFICIAL_REFERENCE,Microsoft Learn - Understand star schema and the importance for Power BI,https://learn.microsoft.com/en-us/power-bi/guidance/star-schema,Star schema overview; fact/dimension roles and grain,VERIFIED_CURRENT_WEB_2026-09-10,Official conceptual reference after the visual demonstration.,PBM3 internal teaching is complete.
PBM4,OFFICIAL_REFERENCE,Microsoft Learn - Model relationships in Power BI Desktop,https://learn.microsoft.com/en-us/power-bi/transform-model/desktop-relationships-understand,"Cardinality, filter propagation and star-schema relationship guidance",VERIFIED_CURRENT_WEB_2026-09-10,Current official relationship/filter reference.,PBM4 internal teaching is complete.
PBM5,OPTIONAL_VISUAL_COMPANION,Chandoo - Data Modelling & Star Schema for Power BI,https://www.youtube.com/watch?v=4ePNrdxWtY0,11:50-18:07 relationship refresher,CORROBORATED_CURRENT_WEB_2026-09-10,Reinforces relationship creation; date-table validity rules remain controlled by the book/official source.,PBM5 internal teaching is complete.
PBM5,SOURCE_HISTORY,Microsoft Learn - Model relationships in Power BI Desktop,https://learn.microsoft.com/en-us/power-bi/transform-model/desktop-relationships-understand,Former primary relationship reference,PRESERVED_HISTORY_REPLACED_BY_MORE_EXACT_DATE_TABLE_REFERENCE_2026-09-10,Preserved because the older source was useful but less exact for a date-dimension lesson.,Current date-table reference + PBM5.
PBM7,OPTIONAL_VISUAL_COMPANION,Chandoo - End to End Power Query Data Cleaning Masterclass,https://www.youtube.com/watch?v=UhD3LbbimZ0,1:02:00-1:07:39,VERIFIED_CURRENT_WEB_2026-09-10,"See close/load, source changes and refresh behavior in Power BI.",PBM7 internal teaching is complete.
PBM7,OPTIONAL_VISUAL_COMPANION,Chandoo - Power Query Beginner to PRO Masterclass,https://www.youtube.com/watch?v=MMdcczmULrU,33:35-35:17,VERIFIED_CURRENT_WEB_2026-09-10,Short refresh/close-load reinforcement.,PBM7 internal teaching is complete.
