subscription_id,account_id,signup_date,cancel_date,plan_id,region,acquisition_channel,status,support_tickets_90d
S0001,AC1091,2025-09-01,,PL05,West,Partner,Active,2
S0002,AC1032,2025-09-05,,PL05,North,Organic,Active,5
S0003,AC1035,2025-09-09,,PL04,South,Organic,Active,1
S0004,AC1047,2025-09-13,,PL04,West,Organic,Active,7
S0005,AC1107,2025-09-17,2026-04-11,PL01,East,Partner,Cancelled,3
S0006,AC1083,2025-09-21,2026-01-02,PL05,East,Organic,Cancelled,2
S0007,AC1115,2025-09-25,,PL01,North,Organic,Active,5
S0008,AC1075,2025-09-29,,PL04,North,Paid,Active,6
S0009,AC1110,2025-10-03,,PL04,West,Paid,Active,0
S0010,AC1045,2025-10-07,,PL01,West,Organic,Active,4
S0011,AC1085,2025-10-11,,PL01,East,Partner,Active,6
S0011,AC1004,2025-10-15,2026-02-13,PL01,West,Organic,Cancelled,0
S0013,AC1034,2025-10-19,,PL02,South,Partner,Active,0
S0014,AC1011,2025-10-23,,PL04,North,Paid,Active,3
S0015,AC1049,2025-10-27,,PL02,West,Paid,Active,2
S0016,AC1065,2025-10-31,2026-05-21,PL05,North,Partner,Cancelled,2
S0017,AC1002,2025-11-04,,PL01,East,Organic,Active,0
S0018,AC1003,2025-11-08,2026-01-11,PL02,East,Paid,Cancelled,8
S0019,AC1059,2025-11-12,,PL05,North,Organic,Active,7
S0020,AC1059,2025-11-16,,PL04,South,Paid,Active,6
S0021,AC1084,2025-11-20,,PL05,East,Paid,Active,3
S0022,AC1006,2025-11-24,,PL04,West,Paid,Active,1
S0023,AC1084,2025-11-28,2026-03-14,PL02,North,Paid,Cancelled,0
S0024,AC1054,2025-12-02,2026-05-09,PL05,East,Paid,Cancelled,6
S0025,AC1071,2025-12-06,,PL03,East,Partner,Active,5
S0026,AC1071,2025-12-10,,PL05,North,Paid,Active,5
S0027,AC1114,2025-12-14,, PL03 ,East,Organic,Active,2
S0028,AC1118,2025-12-18,,PL02,West,Paid,Active,8
S0029,AC1027,2025-12-22,,PL02,South,Paid,Active,2
S0030,AC1074,2025-12-26,2026-05-15,PL04,North,Paid,Cancelled,4
S0031,AC1019,2025-12-30,,PL04,East,Paid,Active,8
S0032,AC1104,2026-01-03,,PL02,East,Partner,Active,1
S0033,AC1007,2026-01-07,,PL03,South,Paid,Active,3
S0034,AC1041,2026-01-11,2026-06-16,PL04,East,Paid,Cancelled,3
S0035,AC1021,2026-01-15,2026-07-08,PL01,North,Paid,Cancelled,1
S0036,AC1088,2026-01-19,2026-05-19,PL03,South,Partner,Cancelled,7
S0037,AC1102,2026-01-23,,PL02,South,Organic,Active,1
S0038,AC1018,2026-01-27,,PL05,East,Paid,Active,0
S0039,AC1112,2026-01-31,,PL01,North,Paid,Active,5
S0040,AC1002,2026-02-04,,PL03,East,Organic,Active,3
S0041,AC1115,2026-02-08,,PL03,East,Organic,Active,1
S0042,AC1080,2026-02-12,,PL99,West,Partner,Active,8
S0043,AC1081,2026-02-16,,PL05,North,Partner,Active,2
S0044,AC1032,2026-02-20,,PL03,East,Paid,Active,0
S0045,AC1028,2026-02-24,,PL05,South,Partner,Active,1
S0046,AC1005,2026-02-28,,PL05,East,Organic,Active,4
S0047,AC1032,2026-03-04,,PL03,West,Organic,Active,5
S0048,AC1027,2026-03-08,,PL01,East,Organic,Active,7
S0049,AC1054,2026-03-12,2026-05-24,PL04,East,Paid,Cancelled,1
S0050,AC1111,2026-03-16,,PL03,East,Paid,Active,8
S0051,AC1013,2026-03-20,,PL03,East,Organic,Active,4
S0052,AC1014,2026-03-24,2026-10-14,PL05,East,Organic,Cancelled,7
S0053,AC1010,2026-03-28,2026-11-01,PL05,West,Organic,Cancelled,3
S0054,AC1029,2026-04-01,,PL05,South,Paid,Active,2
S0055,AC1069,2026-04-05,,PL04,West,Partner,Active,5
S0056,AC1101,2026-04-09,,PL02,South,Partner,Active,0
S0057,AC1009,2026-04-13,,PL02,West,Organic,Active,7
S0058,AC1063,2026-04-17,2026-07-25,PL01,East,Organic,Cancelled,6
S0059,AC1050,2026-99-99,,PL01,West,Organic,Active,4
S0060,AC1000,2026-04-25,2026-07-24,PL03,East,Paid,Cancelled,2
S0061,AC1051,2026-04-29,,PL02,North,Paid,Active,1
S0062,AC1073,2026-05-03,,PL01,South,Partner,Active,5
S0063,AC1087,2026-05-07,,PL02,North,Paid,Active,8
S0064,AC1114,2026-05-11,,PL05,East,Organic,Active,5
S0065,AC1013,2026-05-15,,PL03,West,Paid,Active,4
S0066,AC1038,2026-05-19,,PL04,West,Paid,Active,4
S0067,AC1106,2026-05-23,,PL01,North,Organic,Active,5
S0068,AC1024,2026-05-27,,PL04,East,Organic,Active,3
S0069,AC1095,2026-05-31,,PL02,North,Paid,Active,7
S0070,AC1007,2026-06-04,,PL02,West,Partner,Active,7
S0071,AC1034,2026-06-08,,PL03,West,Paid,Active,2
S0072,AC1060,2026-06-12,,PL03,East,Organic,Active,4
S0073,AC1100,2026-06-16,,PL01,North,Organic,cancelled ,7
S0074,AC1117,2026-06-20,,PL02,North,Organic,Active,3
S0075,AC1042,2026-06-24,,PL04,East,Partner,Active,2
S0076,AC1051,2026-06-28,2026-09-24,PL01,North,Partner,Cancelled,0
S0077,AC1114,2026-07-02,2026-10-22,PL02,South,Partner,Cancelled,2
S0078,AC1089,2026-07-06,,PL02,North,Organic,Active,0
S0079,AC1086,2026-07-10,,PL05,North,Partner,Active,3
S0080,AC1050,2026-07-14,,PL03,South,Partner,Active,3
S0081,AC1102,2026-07-18,,PL04,North,Paid,Active,4
S0082,AC1114,2026-07-22,,PL02,East,Partner,Active,7
S0083,AC1007,2026-07-26,2027-01-07,PL02,South,Organic,Cancelled,1
S0084,AC1031,2026-07-30,,PL02,West,Paid,Active,-1
S0085,AC1099,2026-08-03,,PL05,South,Partner,Active,7
S0086,AC1049,2026-08-07,,PL05,West,Partner,Active,2
S0087,AC1099,2026-08-11,,PL05,North,Paid,Active,7
S0088,AC1119,2026-08-15,,PL01,South,Paid,Active,8
S0089,AC1060,2026-08-19,2027-01-18,PL04,North,Partner,Cancelled,3
S0090,AC1078,2026-08-23,,PL01,East,Organic,Active,0
S0091,AC1015,2026-08-27,,PL04,South,Partner,Active,2
S0092,AC1106,2026-08-31,,PL03,South,Organic,Active,4
S0093,AC1060,2026-09-04,,PL03,South,Paid,Active,7
S0094,AC1115,2026-09-08,,PL02,North,Partner,Active,1
