delivery_id,shipped_at,promised_at,delivered_at,partner_id,region,mode,distance_km,delivery_cost,order_value,status
D0001,2026-02-01 08:00:00,2026-02-03 20:00:00,2026-02-04 08:00:00,P01,West,Air,989,2955,47980,Delivered
D0002,2026-02-01 18:00:00,2026-02-03 06:00:00,2026-02-03 12:00:00,P02,West,Air,530,4739,54379,Delivered
D0003,2026-02-02 04:00:00,2026-02-04 16:00:00,2026-02-04 12:00:00,P04,North,Air,1233,3517,70951,Delivered
D0004,2026-02-02 14:00:00,2026-02-04 14:00:00,2026-02-05 02:00:00,P03,West,Express,1142,4845,14847,Delivered
D0005,2026-02-03 00:00:00,2026-02-05 12:00:00,2026-02-05 18:00:00,P06,North,Road,939,2379,26640,Delivered
D0006,2026-02-03 10:00:00,2026-02-05 22:00:00,2026-02-06 00:00:00,P05,South,Air,567,2808,43209,Delivered
D0006,2026-02-03 20:00:00,2026-02-04 20:00:00,2026-02-05 02:00:00,P06,North,Air,578,5652,71208,Delivered
D0008,2026-02-04 06:00:00,2026-02-06 18:00:00,2026-02-07 18:00:00,P05,East,Air,903,4239,74962,Delivered
D0009,2026-02-04 16:00:00,2026-02-06 16:00:00,2026-02-07 04:00:00,P04,East,Air,228,7153,60977,Delivered
D0010,2026-02-05 02:00:00,2026-02-07 14:00:00,2026-02-07 10:00:00,P03,North,Express,1025,7442,11552,Delivered
D0011,2026-02-05 12:00:00,2026-02-08 00:00:00,2026-02-08 06:00:00,P04,North,Air,606,7523,23659,Delivered
D0012,2026-02-05 22:00:00,2026-02-07 22:00:00,2026-02-08 10:00:00,P01,East,Express,1181,4454,77584,Delivered
D0013,2026-02-06 08:00:00,2026-02-08 08:00:00,2026-02-08 08:00:00,P05,North,Road,596,7649,72107,Delivered
D0014,2026-02-06 18:00:00,2026-02-08 06:00:00,2026-02-08 08:00:00,P06,South,Air,1380,5812,19880,Delivered
D0015,2026-02-07 04:00:00,2026-02-09 16:00:00,2026-02-09 18:00:00,P01,South,Air,1130,7140,59085,Delivered
D0016,2026-02-07 14:00:00,2026-02-10 02:00:00,2026-02-10 14:00:00,P02,North,Air,1295,2831,36918,Delivered
D0017,2026-02-08 00:00:00,2026-02-10 12:00:00,2026-02-10 18:00:00,P02,South,Road,571,1975,51058,Delivered
D0018,2026-02-08 10:00:00,2026-02-09 22:00:00,2026-02-10 04:00:00,P04,North,Air,309,550,43250,Delivered
D0019,2026-02-08 20:00:00,2026-02-10 20:00:00,2026-02-11 02:00:00, P02 ,South,Road,117,8460,53334,Delivered
D0020,2026-02-09 06:00:00,2026-02-10 06:00:00,2026-02-10 18:00:00,P02,East,Road,294,2717,16644,Delivered
D0021,2026-02-09 16:00:00,2026-02-12 04:00:00,2026-02-12 10:00:00,P04,West,Road,337,2299,53407,Delivered
D0022,2026-02-10 02:00:00,2026-02-12 14:00:00,2026-02-12 20:00:00,P04,West,Road,1195,3728,40713,Delivered
D0023,2026-02-10 12:00:00,2026-02-12 12:00:00,2026-02-13 00:00:00,P03,East,Express,1258,7495,2202,Delivered
D0024,2026-02-10 22:00:00,2026-02-13 10:00:00,2026-02-14 10:00:00,P05,East,Road,515,3906,65136,Delivered
D0025,2026-02-11 08:00:00,2026-02-12 08:00:00,2026-02-12 14:00:00,P01,North,Air,361,6930,7851,Delivered
D0026,2026-02-11 18:00:00,2026-02-13 06:00:00,2026-02-13 12:00:00,P04,West,Express,144,4964,63687,Delivered
D0027,2026-02-12 04:00:00,2026-02-14 16:00:00,2026-02-14 16:00:00,P04,North,Road,398,1151,65685,Delivered
D0028,2026-02-12 14:00:00,2026-02-13 14:00:00,2026-02-13 10:00:00,P04,West,Road,1193,5309,12166,Delivered
D0029,2026-02-13 00:00:00,2026-02-14 12:00:00,2026-02-15 00:00:00,P05,West,Air,577,502,76775,Delivered
D0030,2026-02-13 10:00:00,2026-02-14 22:00:00,2026-02-14 18:00:00,P02,South,Express,657,7583,29877,Delivered
D0031,2026-02-13 20:00:00,2026-02-14 20:00:00,2026-02-15 08:00:00,P04,South,Air,905,3340,43306,Delivered
D0032,2026-02-14 06:00:00,2026-02-15 06:00:00,2026-02-15 12:00:00,P02,North,Express,559,4850,9695,Delivered
D0033,2026-02-14 16:00:00,2026-02-15 16:00:00,2026-02-16 16:00:00,P04,South,Air,1221,4038,53140,Delivered
D0034,2026-02-15 02:00:00,2026-02-16 02:00:00,2026-02-16 04:00:00,P02,South,Express,645,1146,11324,Delivered
D0035,2026-02-15 12:00:00,2026-02-17 00:00:00,2026-02-17 00:00:00,P03,West,Road,1148,3483,60202,Delivered
D0036,2026-02-15 22:00:00,2026-02-16 22:00:00,2026-02-17 00:00:00,P04,South,Air,912,4294,58090,Delivered
D0037,2026-02-16 08:00:00,2026-02-18 20:00:00,2026-02-19 20:00:00,P01,East,Express,848,3103,11668,Delivered
D0038,2026-02-16 18:00:00,2026-02-18 06:00:00,2026-02-19 06:00:00,P01,East,Road,323,1034,25960,Delivered
D0039,2026-02-17 04:00:00,2026-02-18 04:00:00,2026-02-18 06:00:00,P06,North,Road,276,2124,39334,Delivered
D0040,2026-02-17 14:00:00,2026-02-19 14:00:00,2026-02-19 16:00:00,P99,North,Air,129,5023,50374,Delivered
D0041,2026-02-18 00:00:00,2026-02-20 12:00:00,2026-02-20 12:00:00,P05,South,Express,1122,2772,56379,Delivered
D0042,2026-02-18 10:00:00,2026-02-19 22:00:00,2026-02-19 22:00:00,P05,West,Air,200,643,2055,Delivered
D0043,2026-02-18 20:00:00,2026-02-21 08:00:00,2026-02-21 20:00:00,P02,North,Express,1134,1037,19777,Delivered
D0044,2026-02-19 06:00:00,2026-02-20 18:00:00,2026-02-20 14:00:00,P03,South,Road,433,1871,28578,Delivered
D0045,2026-02-19 16:00:00,2026-02-20 16:00:00,2026-02-20 22:00:00,P04,West,Road,1216,4156,14870,Delivered
D0046,2026-02-20 02:00:00,2026-02-21 14:00:00,2026-02-22 02:00:00,P06,East,Road,925,4196,72828,Delivered
D0047,2026-02-20 12:00:00,2026-02-22 00:00:00,2026-02-22 02:00:00,P06,South,Express,487,8529,60474,Delivered
D0048,2026-02-20 22:00:00,2026-02-22 22:00:00,2026-02-22 22:00:00,P06,North,Air,572,1173,49394,Delivered
D0049,2026-02-21 08:00:00,2026-02-23 20:00:00,2026-02-24 02:00:00,P02,South,Road,152,3013,51302,Delivered
D0050,2026-02-21 18:00:00,2026-02-22 18:00:00,2026-02-22 14:00:00,P06,East,Road,1271,8300,57941,Delivered
D0051,2026-02-22 04:00:00,2026-02-24 16:00:00,2026-02-24 12:00:00,P01,North,Road,533,6313,18802,Delivered
D0052,2026-02-22 14:00:00,2026-02-24 02:00:00,2026-02-23 22:00:00,P04,North,Express,804,8031,54248,Delivered
D0053,2026-02-23 00:00:00,2026-02-24 12:00:00,bad-ts,P04,South,Express,646,5306,33369,Delivered
D0054,2026-02-23 10:00:00,2026-02-25 10:00:00,2026-02-25 10:00:00,P06,South,Express,830,1531,8796,Delivered
D0055,2026-02-23 20:00:00,2026-02-26 08:00:00,2026-02-27 08:00:00,P02,West,Air,1270,4352,10890,Delivered
D0056,2026-02-24 06:00:00,2026-02-25 06:00:00,2026-02-25 12:00:00,P04,South,Express,112,1484,30869,Delivered
D0057,2026-02-24 16:00:00,2026-02-27 04:00:00,2026-02-28 04:00:00,P05,West,Road,420,4281,4397,Delivered
D0058,2026-02-25 02:00:00,2026-02-26 14:00:00,2026-02-26 10:00:00,P01,East,Road,398,5166,47638,Delivered
D0059,2026-02-25 12:00:00,2026-02-27 00:00:00,2026-02-27 06:00:00,P02,South,Air,1359,6932,72946,Delivered
D0060,2026-02-25 22:00:00,2026-02-26 22:00:00,2026-02-27 00:00:00,P04,West,Express,96,8328,4726,Delivered
D0061,2026-02-26 08:00:00,2026-02-27 20:00:00,2026-02-27 20:00:00,P02,East,Air,443,2838,44363,Delivered
D0062,2026-02-26 18:00:00,2026-02-28 06:00:00,2026-02-28 08:00:00,P03,West,Air,130,3550,4222,Delivered
D0063,2026-02-27 04:00:00,2026-02-28 16:00:00,2026-02-28 18:00:00,P05,North,Express,904,3623,67219,Delivered
D0064,2026-02-27 14:00:00,2026-03-01 02:00:00,2026-03-01 08:00:00,P04,East,Road,514,2658,36146,Delivered
D0065,2026-02-28 00:00:00,2026-03-01 12:00:00,2026-03-02 00:00:00,P02,North,Air,932,5234,23880,Delivered
D0066,2026-02-28 10:00:00,2026-03-01 22:00:00,2026-03-02 22:00:00,P05,East,Express,1101,7179,60903,Delivered
