lesson_id,role,name,url,segment,status,why_watch,internal_fallback
SA1,RECOMMENDED,Alex The Analyst - Learn SQL Beginner to Advanced in Under 4 Hours,https://www.youtube.com/watch?v=OT1RErkfLNQ,51:10-1:08:03,VERIFIED_CURRENT_WEB_2026-09-10,See INNER/LEFT/RIGHT join syntax and output behavior before reproducing the course's grain-first join checks.,"Learner book SA1 + practice SQL fully teach INNER vs LEFT, unmatched behavior and output grain."
SA2,RECOMMENDED,Alex The Analyst - Learn SQL Beginner to Advanced in Under 4 Hours,https://www.youtube.com/watch?v=OT1RErkfLNQ,51:10-1:08:03,VERIFIED_CURRENT_WEB_2026-09-10,"Reuse the join chapter visually, but focus on the course demonstration that proves row multiplication and repeated order-level freight.","Learner book SA2 is the canonical teacher for cardinality, inflation detection, one-side uniqueness and reconciliation."
SA3,RECOMMENDED,Alex The Analyst - Learn SQL Beginner to Advanced in Under 4 Hours,https://www.youtube.com/watch?v=OT1RErkfLNQ,1:15:10-1:26:38,VERIFIED_CURRENT_WEB_2026-09-10,See common MySQL string functions before applying the safer raw-vs-cleaned analyst pattern.,Learner book SA3 + practice SQL teach TRIM/case/CONCAT without overwriting raw values.
SA4,RECOMMENDED_REFERENCE,MySQL 8.0 Reference Manual - Date and Time Functions,https://dev.mysql.com/doc/refman/8.0/en/date-and-time-functions.html,"DATEDIFF, YEAR, MONTH, DATE/DATE_FORMAT and temporal-value behavior",VERIFIED_CURRENT_WEB_2026-09-10,Use the current official MySQL reference for exact date-function behavior and types.,"Learner book SA4 + practice SQL fully teach chronological month keys, DATEDIFF and NULL-safe elapsed-day analysis."
SA5,RECOMMENDED,Alex The Analyst - Learn SQL Beginner to Advanced in Under 4 Hours,https://www.youtube.com/watch?v=OT1RErkfLNQ,1:35:16-1:45:57,VERIFIED_CURRENT_WEB_2026-09-10,See scalar and nested subquery patterns before reasoning about inner-result shape.,Learner book SA5 + practice SQL teach scalar/list/table-like result shape and validation.
SA6,RECOMMENDED,Alex The Analyst - Learn SQL Beginner to Advanced in Under 4 Hours,https://www.youtube.com/watch?v=OT1RErkfLNQ,1:58:55-2:09:06,VERIFIED_CURRENT_WEB_2026-09-10,"See WITH/CTE syntax, then use the course's grain-at-each-stage method rather than writing one opaque query.",Learner book SA6 + practice SQL teach staged grain and independent CTE validation.
SA7,RECOMMENDED,Alex The Analyst - Learn SQL Beginner to Advanced in Under 4 Hours,https://www.youtube.com/watch?v=OT1RErkfLNQ,1:45:58-1:58:55,VERIFIED_CURRENT_WEB_2026-09-10,See OVER and PARTITION BY before comparing a window result with GROUP BY on the same data.,Learner book SA7 + practice SQL teach detail-grain preservation and partition validation.
SA8,RECOMMENDED,Alex The Analyst - Learn SQL Beginner to Advanced in Under 4 Hours,https://www.youtube.com/watch?v=OT1RErkfLNQ,1:45:58-1:58:55,VERIFIED_CURRENT_WEB_2026-09-10,"Use the window chapter for ranking/LAG syntax, then follow the course's deterministic tie-breaker and safe denominator rules.",Learner book SA8 + practice SQL fully teach ROW_NUMBER/RANK/DENSE_RANK/LAG/LEAD behavior.
SA9,RECOMMENDED,Alex The Analyst - Learn SQL Beginner to Advanced in Under 4 Hours,https://www.youtube.com/watch?v=OT1RErkfLNQ,1:08:04-1:15:09,VERIFIED_CURRENT_WEB_2026-09-10,See UNION vs UNION ALL before deciding whether duplicate rows are meaningful or should be removed.,Learner book SA9 + practice SQL teach UNION semantics and keep views/indexes at analyst-awareness depth.
SA4,OPTIONAL_VISUAL_COMPANION,Yahoo Baba - MySQL Date Functions Tutorial - II in Hindi / Urdu,https://www.youtube.com/watch?v=Wnh_cTUqkKE,Full focused lesson; use especially DATEDIFF/date-difference examples,CORROBORATED_CURRENT_WEB_2026-09-10,Optional Hindi/Urdu visual reinforcement for a learner who benefits from seeing date functions demonstrated.,SA4 learner book + practice SQL remain complete.
SA4,LEGACY_VISUAL_HISTORY,Programming Classes - prior MySQL date-functions companion,https://www.youtube.com/watch?v=Bm-MvwlBfFw,Prior mapped date-functions support,PRIOR_VERIFIED_2026-09-08_CURRENT_FETCH_THROTTLED_2026-09-10,Preserved in audit history so a prior useful visual is not silently deleted.,Current official MySQL reference + current Hindi/Urdu companion + SA4 internal lesson.
