lesson_id,role,name,url,segment,status,why_watch,internal_fallback
PY0,RECOMMENDED_VISUAL,Data Analyst Bootcamp for Beginners - Jupyter installation section,https://www.youtube.com/watch?v=PSNXoAs2FtQ,11:05:31-11:15:33,CURRENT_URL_CONFIRMED_2026-09-10;_SEGMENT_FROM_VERIFIED_2026-09-08_MAP,See Jupyter installation/open/run workflow before using the course notebook.,PY0 learner book + notebook setup cell fully teach the reproducibility checks.
PY1,RECOMMENDED_VISUAL,Data Analyst Bootcamp for Beginners - Python variables through functions,https://www.youtube.com/watch?v=PSNXoAs2FtQ,11:15:34-12:32:21,CURRENT_URL_CONFIRMED_2026-09-10;_SEGMENT_FROM_VERIFIED_2026-09-08_MAP,"Visual introduction to variables, conditions, loops and functions before the analyst-sized exercises.",PY1 learner book + practice notebook fully teach the required Python basics.
PY2,RECOMMENDED_VISUAL,Alex The Analyst - Reading in Files in Pandas,https://www.youtube.com/watch?v=dUpyC40cF6Q,0:58-18:05,CURRENT_ID_TITLE_CHAPTERS_CORROBORATED_2026-09-10,See CSV/JSON/Excel loading and DataFrame inspection in a focused beginner pandas lesson.,PY2 learner book + practice notebook + current pandas read_csv reference.
PY3,RECOMMENDED_VISUAL,Data Analyst Bootcamp for Beginners - Data Cleaning in Pandas,https://www.youtube.com/watch?v=PSNXoAs2FtQ,15:33:02-16:11:38,CURRENT_URL_CONFIRMED_2026-09-10;_SEGMENT_FROM_VERIFIED_2026-09-08_MAP,"See common cleaning operations, then return to the course's stricter detection-before-correction workflow.",PY3 learner book + practice data quality checklist fully teach the controlled cleaning route.
PY4,RECOMMENDED_VISUAL,Data Analyst Bootcamp for Beginners - Group By and Aggregate Functions,https://www.youtube.com/watch?v=PSNXoAs2FtQ,14:42:59-14:54:03,CURRENT_URL_CONFIRMED_2026-09-10;_SEGMENT_FROM_VERIFIED_2026-09-08_MAP,See groupby/aggregation syntax before the course makes result grain explicit.,PY4 learner book + practice notebook fully teach named aggregation and reconciliation.
PY5,RECOMMENDED_VISUAL,Data Analyst Bootcamp for Beginners - Merging DataFrames,https://www.youtube.com/watch?v=PSNXoAs2FtQ,14:54:04-15:16:12,CURRENT_URL_CONFIRMED_2026-09-10;_SEGMENT_FROM_VERIFIED_2026-09-08_MAP,See merge syntax before using validate= and indicator=True as correctness controls.,PY5 learner book + current pandas merge docs + practice notebook.
PY6,RECOMMENDED_VISUAL,Data Analyst Bootcamp for Beginners - indexes/aggregation/merge context,https://www.youtube.com/watch?v=PSNXoAs2FtQ,14:31:37-15:16:12,CURRENT_URL_CONFIRMED_2026-09-10;_SEGMENT_FROM_VERIFIED_2026-09-08_MAP,Provides visual context for indexes/grouping/merging before the course teaches tidy monthly reshape.,PY6 learner book + practice notebook teach datetime/pivot/melt and reconciliation explicitly.
PY7,RECOMMENDED_VISUAL,Data Analyst Bootcamp for Beginners - Creating Visualizations using pandas,https://www.youtube.com/watch?v=PSNXoAs2FtQ,15:16:13-15:33:01,CURRENT_URL_CONFIRMED_2026-09-10;_SEGMENT_FROM_VERIFIED_2026-09-08_MAP,See pandas/Matplotlib chart creation before selecting charts by business question.,PY7 learner book + current Matplotlib plot-types reference.
PY8,RECOMMENDED_VISUAL,Alex The Analyst - Exploratory Data Analysis in Pandas,https://www.youtube.com/watch?v=Liv6eeb1VfE,1:51-30:41,VERIFIED_CURRENT_YOUTUBE_2026-09-10,"See a compact EDA flow from first look through grouped analysis and visual exploration; Seaborn heatmap is optional, not required.",PY8 learner book + practice notebook define the course EDA contract.
PY9,BOOK_LED,Internal lesson - notebook quality and reproducibility,,,NO_EXTERNAL_MEDIA_REQUIRED,"The skill is best proven by Restart + Run All, file paths, ordered sections and saved outputs in the learner's own notebook.",PY9 learner book + practice notebook.
PY10,BOOK_LED,Internal lesson - integrated analyst workflow,,,NO_EXTERNAL_MEDIA_REQUIRED,No new library is introduced; this lesson assesses integration of already taught skills.,PY10 learner book + integrated M-PY route.
PY0,OFFICIAL_REFERENCE,Project Jupyter - Installing Jupyter,https://jupyter.org/install,Current installation options,VERIFIED_CURRENT_WEB_2026-09-10,Use current installation commands if an older video installer screen differs.,PY0 setup/recovery instructions.
PY2,OFFICIAL_REFERENCE,pandas - read_csv,https://pandas.pydata.org/docs/reference/api/pandas.read_csv.html,"filepath, dtype, parse/read behavior",VERIFIED_CURRENT_WEB_2026-09-10,Current API reference for CSV loading.,PY2 learner book.
PY5,OFFICIAL_REFERENCE,pandas - merge,https://pandas.pydata.org/docs/reference/api/pandas.merge.html,"how, indicator and validate parameters",VERIFIED_CURRENT_WEB_2026-09-10,Current authoritative semantics for merge validation and _merge indicator.,PY5 learner book.
PY7,OFFICIAL_REFERENCE,Matplotlib - Plot types,https://matplotlib.org/stable/plot_types/,line/bar/histogram overview,VERIFIED_CURRENT_WEB_2026-09-10,Current chart-type reference after the visual demonstration.,PY7 learner book.
PY9,OFFICIAL_REFERENCE,pandas - DataFrame.to_csv,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_csv.html,path/index/output parameters,VERIFIED_CURRENT_WEB_2026-09-10,Current output API reference for reproducible saved CSV results.,PY9 learner book.
