lesson_id,role,name,provider,url,segment,status,why_watch,internal_fallback
IBA4,ASSIGNED VISUAL DEMONSTRATION,The art of exploring and explaining data,storytelling with data,https://www.youtube.com/watch?v=IfKlOC5HSHI,02:38-28:20,CORROBORATED_CURRENT_BY_STORYTELLING_WITH_DATA_VIDEO_LIBRARY_2026-09-11,"See exploration, comparison, simple explanatory charts and the shift from many cuts to a few decision-relevant patterns.",IBA4 learner-book lesson + direct practice worksheet
IBA6,ASSIGNED VISUAL DEMONSTRATION,The art of exploring and explaining data,storytelling with data,https://www.youtube.com/watch?v=IfKlOC5HSHI,17:15-28:20,CORROBORATED_CURRENT_BY_STORYTELLING_WITH_DATA_VIDEO_LIBRARY_2026-09-11,See how exploratory output becomes a focused explanatory message.,IBA6 learner-book lesson + direct practice worksheet
IBA9,ASSIGNED VISUAL DEMONSTRATION,How to turn data into stories,storytelling with data,https://www.youtube.com/watch?v=Hfx1X9WSGYQ,02:20-20:52; 25:54-35:38,CORROBORATED_CURRENT_BY_STORYTELLING_WITH_DATA_VIDEO_LIBRARY_2026-09-11,"Study decluttering, focus and a decision-ready story sequence.",IBA9 learner-book lesson + direct practice worksheet
IBA9,OPTIONAL VISUAL COMPANION,Avoid these 5 slide mistakes,storytelling with data,https://www.youtube.com/watch?v=CfBHKy2sebQ,00:25-08:46,CORROBORATED_CURRENT_BY_STORYTELLING_WITH_DATA_VIDEO_LIBRARY_2026-09-11,"Use when slides have an unclear point, excess colors/graphs/detail or too much text.",IBA9 learner-book lesson + direct practice worksheet
IBA9,OPTIONAL VISUAL COMPANION,How to focus attention in data visualization,storytelling with data,https://www.youtube.com/watch?v=kfGbI9wovZk,Full focused video,CORROBORATED_CURRENT_BY_STORYTELLING_WITH_DATA_VIDEO_LIBRARY_2026-09-11,Use when the audience still cannot tell what to look at first.,IBA9 learner-book lesson + direct practice worksheet
IBA11,OPTIONAL VISUAL COMPANION,The art of exploring and explaining data - persuasion/story section,storytelling with data,https://www.youtube.com/watch?v=IfKlOC5HSHI,32:30-43:46,CORROBORATED_CURRENT_BY_STORYTELLING_WITH_DATA_VIDEO_LIBRARY_2026-09-11,Use after the integrated case draft to strengthen persuasion/story flow without replacing the evidence chain.,IBA11 learner-book lesson + direct practice worksheet
IBA1,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: Stakeholder request -> decision-focused Analysis Brief,Course 1 internal teaching,,Internal worked example + practice,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,A visual companion is optional; the course lesson is deliberately sufficient because the skill is a reasoning/brief-writing workflow.,IBA1 learner-book lesson + direct practice worksheet
IBA2,COURSE_BUILT_BOOK_ONLY,"Internal beginner-first lesson: KPI trees, metric definitions and driver logic",Course 1 internal teaching,,Internal worked KPI tree + practice,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,Avoid filler video: the internal lesson teaches the exact course metric-definition contract and validation language.,IBA2 learner-book lesson + direct practice worksheet
IBA3,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: Analysis planning and prioritization,Course 1 internal teaching,,Internal planning example + changed task,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,This planning lesson is course-built around the evidence/decision workflow; no external video is required.,IBA3 learner-book lesson + direct practice worksheet
IBA5,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: Root-cause discipline and causal boundaries,Course 1 internal teaching,,Internal causal-boundary worked example,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,The course intentionally keeps this book-led to avoid oversimplified causal claims from generic videos.,IBA5 learner-book lesson + direct practice worksheet
IBA7,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: Recommendations that can actually be executed,Course 1 internal teaching,,Internal recommendation template + practice,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,"The internal lesson maps evidence -> action -> owner -> risk -> next check, so no external source is required.",IBA7 learner-book lesson + direct practice worksheet
IBA8,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: Executive writing,Course 1 internal teaching,,Internal one-page memo worked example,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,Book-led so the learner follows the exact headline/evidence/recommendation structure used in the course.,IBA8 learner-book lesson + direct practice worksheet
IBA10,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: Stakeholder defense,Course 1 internal teaching,,Internal pushback/uncertainty drill,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,Interactive practice matters more than passive video here; the course contains the required defense prompts and validation route.,IBA10 learner-book lesson + direct practice worksheet
