lesson_id,role,name,url,segment,status,why_watch,internal_fallback
EFA1,RECOMMENDED,5 Advanced Tips on how to use IF formula in Excel that will SURPRISE you,https://www.youtube.com/watch?v=15NtFld9mVM&t=0s,0:00-4:45,VERIFIED_CURRENT_WEB_2026-09-10,"See simple IF, nested/IFS, then the multi-condition section that supports AND/OR logic before reproducing the workbook task.",This lesson plus P-EFA1_IF fully teach the rule/boundary logic.
EFA2,RECOMMENDED,Best Excel Formulas in an hour - Beginner to PRO Masterclass,https://www.youtube.com/watch?v=dVJFyqI_Nw4&t=111s,1:51-8:28,VERIFIED_CURRENT_WEB_2026-09-10,"See COUNTIFS, SUMIFS and AVERAGEIFS with multiple criteria before building a cell-driven analyst report.",This lesson plus P-EFA2_ConditionalAgg fully teach and validate the formulas.
EFA3,RECOMMENDED,Data Cleaning in Excel - 10 Tricks (Beginner to PRO),https://www.youtube.com/watch?v=q7EpoOwBcnM&t=77s,1:17-8:49,VERIFIED_CURRENT_WEB_2026-09-10,"See Flash Fill/Text to Columns/duplicate and cleaning patterns, then return to the safer raw-preserving helper-column workflow.",This lesson plus P-EFA3_Cleaning teach the controlled cleaning route.
EFA4,OPTIONAL,Chandoo - 6 Essential TEXT functions + Date & Time values,https://chandoo.org/wp/important-text-functions/,Focused article sections; optional date companion in source registry,VERIFIED_CURRENT_WEB_2026-09-10,Optional visual/reference reinforcement for text extraction and Excel date serial thinking.,This lesson plus P-EFA4_Text_Dates are the canonical teacher route.
EFA5,RECOMMENDED,10 Advanced XLOOKUP Tips & Tricks,https://www.youtube.com/watch?v=YyhJe5tMq58&t=75s,1:15-4:18,VERIFIED_CURRENT_WEB_2026-09-10,See XLOOKUP syntax/basic/multi-column behavior before practicing key uniqueness and Not Found controls.,This lesson plus Products + P-EFA5_Lookups fully teach the lookup contract.
EFA6,OPTIONAL,Chandoo - Excel Formula Errors: Understand and Debug Them,https://chandoo.org/wp/excel-formula-errors/,Focused error-type and debugging sections,VERIFIED_CURRENT_WEB_2026-09-10,Optional reference for recognizing error types; the lesson controls when an error may be handled versus repaired.,This lesson plus P-EFA6_Errors are the canonical teacher route.
EFA7,RECOMMENDED,How to create & use Drop Down lists like a PRO - Advanced Excel Tricks,https://www.youtube.com/watch?v=KSQiMdGi3-0&t=0s,0:00-3:58,VERIFIED_CURRENT_WEB_2026-09-10,See dropdown creation and user guidance before building quality controls that separate prevention from detection.,This lesson plus P-EFA7_Quality fully teach the controls.
EFA8,RECOMMENDED,Excel Pivot Tables - Master Data Analysis in just 45 minutes,https://www.youtube.com/watch?v=zuSNd1ZMfBI&t=51s,0:51-15:01,CORROBORATED_CURRENT_URL_2026-09-10,"See PivotTable fields, aggregation and layout before building live Pivots on Pivot_Source.",This lesson plus P-EFA8_Pivots + My_Pivots provide the complete internal route.
EFA9,RECOMMENDED,Excel Pivot Tables - Master Data Analysis in just 45 minutes,https://www.youtube.com/watch?v=zuSNd1ZMfBI&t=1232s,20:32-24:40,CORROBORATED_CURRENT_URL_2026-09-10,See PivotChart/slicer reporting patterns before building My_Report and testing filter/clear states.,This lesson plus P-EFA9_Report + My_Report fully teach the reporting route.
EFA10,RECOMMENDED,Power Query - Beginner to PRO Masterclass in 30 minutes,https://www.youtube.com/watch?v=MMdcczmULrU&t=294s,4:54-13:36; 17:50-28:25; 33:35-35:17,VERIFIED_CURRENT_WEB_2026-09-10,"See Editor, cleaning/loading, staff/date transformations and refresh before reproducing the controlled PQ_Source workflow.",This lesson plus P-EFA10_PQ give numbered click-by-click instructions and a refresh test.
EFA11,RECOMMENDED_REFERENCE,Microsoft Support - Create a relationship between tables in Excel,https://support.microsoft.com/en-us/excel/create-a-relationship-between-tables-in-excel,"Matching keys, uniqueness, one-to-many, create/manage relationships",VERIFIED_CURRENT_WEB_2026-09-10,Use the official Excel relationship explanation after grain/key uniqueness is understood; feature availability can vary by Excel edition.,This lesson plus Model_Products/Model_Sales + P-EFA11_Model teach the grain/cardinality reasoning even if the relationship UI is unavailable.
EFA4,OPTIONAL_COMPANION,Chandoo - Date & Time values in Excel,https://chandoo.org/wp/date-time-tips-ms-excel/,Focused date/time sections,VERIFIED_CURRENT_WEB_2026-09-10,Reinforces how Excel stores and works with dates.,EFA4 internal lesson + practice.
EFA11,OPTIONAL_OFFICIAL_BACKGROUND,Microsoft Support - Relationships between tables in a Data Model,https://support.microsoft.com/en-us/excel/relationships-between-tables-in-a-data-model,Relationship/cardinality background,VERIFIED_CURRENT_WEB_2026-09-10,Optional deeper official background after the basic relationship lesson.,EFA11 internal lesson + practice.
