lesson_id,role,name,url,segment,status,why_watch,internal_fallback
AIA1,CURRENT_OFFICIAL_REFERENCE,OpenAI Academy - Analyzing data with ChatGPT,https://openai.com/academy/data-analysis/,Data analysis directly in ChatGPT + Tips for success,VERIFIED_CURRENT_OFFICIAL_WEB_2026-09-11,Use current approach-first/file-analysis guidance while the course adds an explicit verification contract.,AIA1 learner book + AIA1_Prompt_Lab.
AIA1,OPTIONAL_OFFICIAL_REFERENCE,OpenAI Help - Data analysis with ChatGPT,https://help.openai.com/en/articles/8437071,Overview + supported files + charts/code-backed analysis,VERIFIED_CURRENT_OFFICIAL_WEB_2026-09-11,Current capability awareness; exact plan/account features can vary.,AIA1 learner book.
AIA2,CURRENT_OFFICIAL_REFERENCE,OpenAI Help - File Uploads FAQ,https://help.openai.com/en/articles/8555545-uploading-files-with-advanced-data-analysis-in-chatgpt,"File/spreadsheet analysis, limits and retention awareness",VERIFIED_CURRENT_OFFICIAL_WEB_2026-09-11,Understand current file-analysis surface and why product capability is not proof of analytical correctness.,AIA2 learner book + AIA2_Output_Audit.
AIA3,OPTIONAL_VISUAL_COMPANION,Alex The Analyst - Learn SQL Beginner to Advanced in Under 4 Hours,https://www.youtube.com/watch?v=OT1RErkfLNQ,Use only for SQL syntax/debugging visuals,PRESERVED_CURRENT_VISUAL_FROM_2026-09-08_MAP,Useful syntax refresher; not the primary AI-code-verification lesson.,AIA3 learner book + multi-tool code audit.
AIA4,CURRENT_OFFICIAL_REFERENCE,OpenAI Academy - Analyzing data with ChatGPT,https://openai.com/academy/data-analysis/,Ask for an approach; anomalies and hypotheses,VERIFIED_CURRENT_OFFICIAL_WEB_2026-09-11,"Use AI to widen possible analyses while keeping facts, assumptions and hypotheses separate.",AIA4 learner book + AIA4_Analysis_Plan.
AIA6,CURRENT_OFFICIAL_REFERENCE,OpenAI Help - Data Controls FAQ,https://help.openai.com/en/articles/7730893-data-controls-faq,Current ChatGPT data-control awareness,VERIFIED_CURRENT_OFFICIAL_WEB_2026-09-11,Know consumer controls without treating them as employer/client approval.,AIA6 learner book + privacy matrix.
AIA6,CURRENT_OFFICIAL_REFERENCE,OpenAI Help - How your data is used to improve model performance,https://help.openai.com/en/articles/5722486-how-your-data-is-used-,Individual vs business-service data-use context,VERIFIED_CURRENT_OFFICIAL_WEB_2026-09-11,Understand that data handling differs across service contexts; governance still comes first.,AIA6 learner book.
AIA8,ASSIGNED_VISUAL,OpenAI - Introducing ChatGPT for Excel and Google Sheets,https://www.youtube.com/watch?v=sfkyiXvlYL0,Full focused visual,CORROBORATED_CURRENT_INDEXED_2026-09-11,"See spreadsheet-native AI in motion; learn the idea, not a button location.",AIA8 learner book + AIA8_Modern_Surfaces.
AIA8,CURRENT_OFFICIAL_REFERENCE,OpenAI - Introducing ChatGPT for Excel and new financial data integrations,https://openai.com/index/chatgpt-for-excel/,"Spreadsheet-native capability, updates and control concepts",VERIFIED_CURRENT_OFFICIAL_WEB_2026-09-11,Current OpenAI product context; availability/terms can change.,AIA8 internal teaching.
AIA8,CURRENT_OFFICIAL_REFERENCE,"OpenAI Help - Creating and editing documents, spreadsheets, and presentations with ChatGPT Work",https://help.openai.com/en/articles/20001278-creating-and-editing-documents-spreadsheets-and-presentations-with-chatgpt-work,Current Work/Excel workflow awareness,VERIFIED_CURRENT_OFFICIAL_WEB_2026-09-11,Understand that app/surface/workspace availability and permissions vary.,AIA8 internal teaching.
AIA8,CURRENT_OFFICIAL_REFERENCE,Microsoft Support - Get started with Copilot in Excel,https://support.microsoft.com/en-us/excel/copilot/get-started-with-copilot-in-excel,"Current capabilities, modes and availability requirements",VERIFIED_CURRENT_OFFICIAL_WEB_2026-09-11,Compare transferable review/validation/permission controls across another spreadsheet AI surface.,AIA8 internal teaching.
AIA8,CURRENT_OFFICIAL_REFERENCE,Microsoft Learn - Use Copilot with Power BI reports and semantic models,https://learn.microsoft.com/en-us/power-bi/create-reports/copilot-reports-overview,Capabilities and requirements,VERIFIED_CURRENT_OFFICIAL_WEB_2026-09-11,Modern BI-AI awareness; model quality and validation remain prerequisites.,AIA8 internal teaching.
AIA0,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: What AI is for in analyst work,,Internal mental model + boundaries,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,Book-led orientation avoids tying the foundational mental model to one changing product UI.,AIA0 learner book + practice workbook
AIA5,COURSE_BUILT_BOOK_ONLY,"Internal beginner-first lesson: Hallucinations, citations and source hierarchy",,Internal verification ladder + changed audit,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,The course uses its own verification ladder and source hierarchy; current official references in adjacent lessons provide product context.,AIA5 learner book + verification exercise
AIA7,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: AI-assisted communication and documentation,,Internal communication workflow + review checklist,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,The skill is transferable communication discipline rather than a product-specific feature walkthrough.,AIA7 learner book + practice workbook
AIA9,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: Integrated AI-assisted analyst workflow,,Integrated course-built workflow,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,This is the course synthesis lesson; using the internal workflow prevents a generic video from replacing the required verification/evidence contract.,AIA9 learner book + integrated practice
