lesson_id,role,name,url,segment,status,why_watch,internal_fallback
EF1,RECOMMENDED,Excel Tutorial for Beginners: Learn it FAST,https://www.youtube.com/watch?v=F7aPazuS8QY&t=75s,1:15-4:08,VERIFIED_CURRENT_WEB_2026-09-10,"See workbook, worksheet, cell, Name Box and basic navigation before reproducing them.",Learner book EF1 + P-EF1_Navigation fully teach the skill.
EF2,RECOMMENDED,Excel Tutorial for Beginners: Learn it FAST,https://www.youtube.com/watch?v=F7aPazuS8QY&t=249s,4:09-8:20,VERIFIED_CURRENT_WEB_2026-09-10,Watch a simple structured tracker being entered and edited before building your changed dataset.,Learner book EF2 + P-EF2_Structure fully teach the skill.
EF3,BOOK_LED,Internal lesson,,,NO_EXTERNAL_MEDIA_REQUIRED,Formatting vs stored-value reasoning is clearer in the controlled workbook exercise than a filler video.,Learner book EF3 + P-EF3_Formatting are the canonical route.
EF4,BOOK_LED,Internal lesson,,,NO_EXTERNAL_MEDIA_REQUIRED,"Safe sort/filter requires record-integrity validation, which the internal lesson teaches directly.",Learner book EF4 + P-EF4_SortFilter are the canonical route.
EF5,RECOMMENDED,Excel Tutorial for Beginners: Learn it FAST,https://www.youtube.com/watch?v=F7aPazuS8QY&t=946s,15:46-21:28,VERIFIED_CURRENT_WEB_2026-09-10,See formulas built from cell references before writing Revenue/Profit/Margin yourself.,Learner book EF5 + P-EF5_Formulas include a complete worked example.
EF6,RECOMMENDED,Excel Tutorial for Beginners: Learn it FAST,https://www.youtube.com/watch?v=F7aPazuS8QY&t=1289s,21:29-22:38,VERIFIED_CURRENT_WEB_2026-09-10,Reinforce essential aggregation functions before the workbook validation exercise.,Learner book EF6 + P-EF6_Functions fully teach SUM/AVERAGE/MIN/MAX/COUNT.
EF7,RECOMMENDED,"Learn ALL the useful Excel concepts in 40 mins - Tables, Formulas, Pivots & Charts",https://www.youtube.com/watch?v=VT479YDPB0I&t=755s,12:35-20:52,VERIFIED_CURRENT_WEB_2026-09-10,Current verified visual explanation of relative/absolute cell-reference behavior.,Learner book EF7 + P-EF7_References fully teach and validate fixed vs moving references.
EF8,RECOMMENDED,"Learn ALL the useful Excel concepts in 40 mins - Tables, Formulas, Pivots & Charts",https://www.youtube.com/watch?v=VT479YDPB0I&t=142s,2:22-12:34,VERIFIED_CURRENT_WEB_2026-09-10,See what a real Excel Table is and how it behaves before creating PracticeOrders.,Learner book EF8 + P-EF8_Tables include a real DemoOrders Table and fresh creation task.
EF9,RECOMMENDED,Excel Tutorial for Beginners: Learn it FAST,https://www.youtube.com/watch?v=F7aPazuS8QY&t=1359s,22:39-27:26,VERIFIED_CURRENT_WEB_2026-09-10,See chart insertion and formatting before building the guided and changed charts.,Learner book EF9 + P-EF9_Charts supply both datasets and exact chart-choice guidance.
EF7,OPTIONAL_LEGACY_COMPANION,How to use Excel formula references - A1 vs. $A$1 vs $A1 vs A$1 explained,https://www.youtube.com/watch?v=4MVNjzsGokc,Prior mapped focused explanation,RETAINED_PENDING_EXACT_ID_RECONFIRMATION,Useful prior dedicated reference lesson; retained so a good old source is not silently removed.,Current verified Chandoo 40-minute video at 12:35-20:52 plus learner book EF7.
