lesson_id,role,name,url,segment,status,why_watch,internal_fallback
SF0,RECOMMENDED,Learn SQL Beginner to Advanced in Under 4 Hours - Alex The Analyst,https://www.youtube.com/watch?v=OT1RErkfLNQ,0:52-11:18,VERIFIED_CURRENT_WEB_2026-09-10,"See MySQL/Workbench setup visually, then use the current official Workbench docs/download if the interface differs from the video.","The learner book includes the complete SQL pattern, expected result logic and recovery path."
SF1,BOOK_LED,Internal lesson + course SQL lab,,,NO_EXTERNAL_MEDIA_REQUIRED,"Grain, primary/foreign key and NULL are taught against the exact course tables; no filler video is needed.",The learner book + lab/practice SQL are the canonical route.
SF2,RECOMMENDED,Learn SQL Beginner to Advanced in Under 4 Hours - Alex The Analyst,https://www.youtube.com/watch?v=OT1RErkfLNQ,11:19-21:46,VERIFIED_CURRENT_WEB_2026-09-10,See the exact SQL clause/interface behavior before typing the matching query yourself.,"The learner book includes the complete SQL pattern, expected result logic and recovery path."
SF3,RECOMMENDED,Learn SQL Beginner to Advanced in Under 4 Hours - Alex The Analyst,https://www.youtube.com/watch?v=OT1RErkfLNQ,21:47-33:53,VERIFIED_CURRENT_WEB_2026-09-10,See the exact SQL clause/interface behavior before typing the matching query yourself.,"The learner book includes the complete SQL pattern, expected result logic and recovery path."
SF4,RECOMMENDED,Learn SQL Beginner to Advanced in Under 4 Hours - Alex The Analyst,https://www.youtube.com/watch?v=OT1RErkfLNQ,47:41-51:09,VERIFIED_CURRENT_WEB_2026-09-10,Use Alex for LIMIT/aliasing orientation; the learner book fully teaches ORDER BY. The preserved Codebasics companion covers ORDER BY/LIMIT in the broader beginner segment.,"The learner book includes the complete SQL pattern, expected result logic and recovery path."
SF5,RECOMMENDED,Learn SQL Beginner to Advanced in Under 4 Hours - Alex The Analyst,https://www.youtube.com/watch?v=OT1RErkfLNQ,33:54-44:18,VERIFIED_CURRENT_WEB_2026-09-10,See the exact SQL clause/interface behavior before typing the matching query yourself.,"The learner book includes the complete SQL pattern, expected result logic and recovery path."
SF6,RECOMMENDED,Learn SQL Beginner to Advanced in Under 4 Hours - Alex The Analyst,https://www.youtube.com/watch?v=OT1RErkfLNQ,33:54-44:17,VERIFIED_CURRENT_WEB_2026-09-10,See the exact SQL clause/interface behavior before typing the matching query yourself.,"The learner book includes the complete SQL pattern, expected result logic and recovery path."
SF7,RECOMMENDED,Learn SQL Beginner to Advanced in Under 4 Hours - Alex The Analyst,https://www.youtube.com/watch?v=OT1RErkfLNQ,44:18-47:40,VERIFIED_CURRENT_WEB_2026-09-10,See the exact SQL clause/interface behavior before typing the matching query yourself.,"The learner book includes the complete SQL pattern, expected result logic and recovery path."
SF8,RECOMMENDED,Learn SQL Beginner to Advanced in Under 4 Hours - Alex The Analyst,https://www.youtube.com/watch?v=OT1RErkfLNQ,1:26:39-1:35:15,VERIFIED_CURRENT_WEB_2026-09-10,See the exact SQL clause/interface behavior before typing the matching query yourself.,"The learner book includes the complete SQL pattern, expected result logic and recovery path."
SF2,OPTIONAL_COMPANION,Codebasics - SQL Tutorial For Beginners | MySQL Tutorial,https://www.youtube.com/watch?v=Rm0xH2Vpfi0,13:06-34:03,VERIFIED_CURRENT_WEB_2026-09-10,Optional second visual explanation for SELECT/basic query patterns.,Learner book SF2 + SQL practice
SF3,OPTIONAL_COMPANION,Codebasics - SQL Tutorial For Beginners | MySQL Tutorial,https://www.youtube.com/watch?v=Rm0xH2Vpfi0,13:06-34:03,VERIFIED_CURRENT_WEB_2026-09-10,Optional second visual explanation for basic filtering/query patterns.,Learner book SF3 + SQL practice
SF4,OPTIONAL_COMPANION,Codebasics - SQL Tutorial For Beginners | MySQL Tutorial,https://www.youtube.com/watch?v=Rm0xH2Vpfi0,13:06-34:03,VERIFIED_CURRENT_WEB_2026-09-10,Optional visual reinforcement for basic query ordering/selection workflow; use only after the canonical lesson.,Learner book SF4 + SQL practice
SF5,OPTIONAL_COMPANION,Codebasics - SQL Tutorial For Beginners | MySQL Tutorial,https://www.youtube.com/watch?v=Rm0xH2Vpfi0,34:04-46:23,VERIFIED_CURRENT_WEB_2026-09-10,Optional second visual explanation for aggregate functions.,Learner book SF5 + SQL practice
SF6,OPTIONAL_COMPANION,Codebasics - SQL Tutorial For Beginners | MySQL Tutorial,https://www.youtube.com/watch?v=Rm0xH2Vpfi0,34:04-46:23,VERIFIED_CURRENT_WEB_2026-09-10,Optional second visual explanation for grouping/aggregates.,Learner book SF6 + SQL practice
SF7,OPTIONAL_COMPANION,Codebasics - SQL Tutorial For Beginners | MySQL Tutorial,https://www.youtube.com/watch?v=Rm0xH2Vpfi0,46:24-1:05:08,VERIFIED_CURRENT_WEB_2026-09-10,Optional second visual explanation for HAVING/calculated-query patterns. Stop before advanced topics.,Learner book SF7 + SQL practice
SF0,OFFICIAL_REFERENCE,MySQL Workbench download,https://dev.mysql.com/downloads/workbench/,Current supported download page,VERIFIED_CURRENT_WEB_2026-09-10,Use when the video installer UI differs from the current release.,SF0 book explains the conceptual setup; installer screens may change.
SF0,OFFICIAL_REFERENCE,MySQL Workbench Manual,https://dev.mysql.com/doc/workbench/en/,Connections / SQL Development / installation sections,VERIFIED_CURRENT_WEB_2026-09-10,Current official reference for Workbench behavior and interface.,SF0 book + setup SQL remain self-sufficient for the course task.
