lesson_id,role,name,url,segment,status,why_watch,internal_fallback
PCH3,CURRENT_OFFICIAL_REFERENCE,GitHub Docs - Managing your profile README,https://docs.github.com/en/account-and-profile/how-tos/profile-customization/managing-your-profile-readme,Current profile README requirements and setup,VERIFIED_CURRENT_OFFICIAL_WEB_2026-09-11,Use current GitHub mechanics; the course controls the portfolio evidence standard.,PCH3 learner lesson + repo audit + templates.
PCH3,CURRENT_OFFICIAL_REFERENCE,GitHub Docs - About READMEs,https://docs.github.com/en/repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/about-readmes,README purpose and repository display behavior,VERIFIED_CURRENT_OFFICIAL_WEB_2026-09-11,Confirm how GitHub surfaces repository READMEs; course template adds recruiter/business-analysis requirements.,PCH3/PCH4 internal teaching.
PCH4,ASSIGNED_VISUAL,Alex The Analyst - Data Analyst Portfolio Project | SQL Data Exploration,https://www.youtube.com/watch?v=qfyynHBFOsM,13:40-1:18:00; GitHub at 1:13:35,VERIFIED_CURRENT_YOUTUBE_2026-09-11,"See a real analysis-to-GitHub workflow, then use the stricter course README/evidence standard.",PCH4 learner book + PROJECT_README_TEMPLATE.md.
PCH7,ASSIGNED_VISUAL,Alex The Analyst - Create the Perfect Data Analyst Resume | Free Templates!,https://www.youtube.com/watch?v=WizLaDdsHUs,Full focused video,INDEPENDENT_CURRENT_CHECK_2026-09-09_DIRECT_FETCH_LIMITED,Visual reinforcement for junior-analyst resume structure; final claims must remain truthful and evidence-backed.,PCH7 learner book + resume DOCX + checklist.
PCH11,ASSIGNED_VISUAL,Alex The Analyst - Data Analyst Interview Questions,https://www.youtube.com/watch?v=fweZQqB0nwQ,Full focused video,INDEPENDENT_CURRENT_CHECK_2026-09-09_DIRECT_FETCH_LIMITED,"Interview-question visual after handbook drills; answer through reasoning and validation, not memorized scripts.",PCH11 learner book + interview handbook.
PCH12,OPTIONAL_VISUAL,Alex The Analyst - What To Say vs What NOT To Say,https://www.youtube.com/watch?v=rLKC--8UYSw,Full focused video,INDEPENDENT_CURRENT_CHECK_2026-09-09_DIRECT_FETCH_LIMITED,Optional behavioral-answer comparison; project examples remain labelled projects.,PCH12 learner book + handbook STAR/CAR clinic.
PCH13,OPTIONAL_VISUAL,Alex The Analyst - Salary Negotiation,https://www.youtube.com/watch?v=ziurEoqEcO4,Full focused video,INDEPENDENT_CURRENT_CHECK_2026-09-09_DIRECT_FETCH_LIMITED,Optional negotiation visual only after researching the actual role/company/location.,PCH13 learner book + offer clinic.
PCH1,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: What a fresher portfolio must prove,,Internal proof-of-work rubric,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,The course rubric is the authority for this portfolio standard; external videos are optional enrichment only.,PCH1 learner book + portfolio rubric
PCH2,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: Choose projects with different business stories,,Internal project-selection matrix,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,"Book-led because the required output is a course-specific project-selection decision, not passive watching.",PCH2 learner book + project-selection matrix
PCH5,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: Project validation before publishing,,Internal validation checklist,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,The exact publish/no-publish checks are defined by the course and should not be replaced by generic portfolio advice.,PCH5 learner book + validation checklist
PCH6,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: Final capstone,,Independent end-to-end capstone brief,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,No external tutorial is assigned because the capstone must remain independent evidence rather than a copied walkthrough.,PCH6 learner book + capstone package
PCH8,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: LinkedIn / professional profile without overclaiming,,Internal evidence-to-profile checklist,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,The course focuses on truthful evidence-backed wording; no external source is required.,PCH8 learner book + profile checklist
PCH9,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: Application strategy,,Internal targeted-application workflow,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,Application strategy is tied to the learner evidence tracker and course job workflow.,PCH9 learner book + application tracker
PCH10,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: Project walkthrough interview,,Internal project-defense drill,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,The course requires the learner to defend their own project rather than memorize an external walkthrough.,PCH10 learner book + interview handbook
PCH14,COURSE_BUILT_BOOK_ONLY,Internal beginner-first lesson: Final readiness and continuous improvement,,Internal readiness rubric + next-action plan,INTERNAL_SELF_CONTAINED_MASTER_AUDIT_2026-09-11,Final readiness is governed by the course evidence rubric and Gate results.,PCH14 learner book + readiness checklist
